,CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,CH 11,CH 12,CH 13,CH 14,CH 15,CH 16,CH 17,CH 18,CH 19,CH 20,CH 21,CH 22,CH 23,CH 24,CH 25,CH 26,CH 27,CH 28,TTL
16,-17.557436342863,3.551172851359,-8.557363034911,5.253315090514,-27.638072569773,-35.054068787258,7.663528616140,-7.368947721618,-9.421664864076,6.924132722879,8.923295395944,15.927943056873,-28.820615367334,-9.972742729433,-0.466570055506,15.664796304563,-21.886908792335,-50.237097505287,6.470162468386,-2.599145012337,-23.758993852868,31.825907904502,-19.479730175065,-3.588980940656,-1.980681019073,8.685175974302,37.682923670156,5.042726358522,-14.244689368293
17,-10.063806086243,6.923389720151,-10.388786673619,-2.610931125264,-28.382462985477,-27.142084175862,12.073654764564,0.694064034404,-3.614354896671,5.207273525142,7.089170276781,18.992456304281,-30.184511453245,-7.944128026816,0.389435895971,5.088655593644,-22.040403441637,-51.955027075630,1.827344791752,-14.306202637639,-21.005279782739,29.371898786793,-20.148030286645,-4.502496103810,-7.839906791226,9.903021868374,34.379713168610,4.494945272879,-6.122991298700
18,-5.038226597238,15.419901078019,-13.812744336133,-13.115758466688,-24.930505468423,-19.871928131663,17.216383248075,9.566210021009,-0.032610246195,4.738594135442,0.473899909838,18.026210486227,-31.946180790984,-4.406806444652,1.986527373468,-7.564438275555,-24.721354005287,-43.633742595343,-2.883808949233,-20.765707169980,-22.142768884192,23.310082069482,-19.251087736717,-8.634658562314,-10.281109463706,7.495802475544,30.681909553599,4.328295411697,1.501305947488
19,-1.185631607446,21.622026278577,-12.362237077354,-21.972527083647,-19.198484450488,-12.491483501457,23.243932434485,12.284348692765,0.272953988929,2.328781562512,-4.303868526738,18.612379445434,-33.545034719931,-1.765000127495,2.904072825947,-12.191047966664,-26.152272042488,-32.645550357082,-5.752640230653,-20.032413418939,-25.388356078135,18.825205073452,-14.532935089147,-13.358295284122,-10.642304225724,2.793183648835,28.430470520529,8.926607070439,2.309573276687
20,-0.587361308779,20.824441042981,-10.579723017667,-27.678155572977,-14.547370347508,-11.516537729154,28.082794727269,8.450906773324,-4.830302684941,2.563952509783,-8.536224172814,17.411948350679,-33.897511594234,-1.455231537407,4.147112966653,-15.301723318956,-22.610196289579,-26.323896060069,-6.418686789678,-15.771934319022,-25.188006479037,15.719782922966,-12.300939307044,-15.450012781673,-9.448852888978,-1.103815363193,29.038707256866,13.504491930003,0.885772008849
21,-0.961864470934,17.426907956055,-9.799679389631,-31.271937715348,-12.552015498853,-18.636316243738,25.649454270472,4.247454572176,-9.717518621554,5.720490657212,-11.195457073263,15.036168151281,-37.409378347446,-1.963894452544,3.414239177179,-21.505130670041,-17.449343618462,-23.039805660776,-4.989051513368,-7.799564808847,-21.818173478531,11.970662023959,-13.067086182083,-12.844439294026,-7.700093711729,-1.308463921814,27.509714389089,14.187892428220,3.146180314872
22,-1.789073380698,15.051889453992,-10.217619575777,-35.479901988379,-12.966047665019,-27.230736016745,16.938025682106,1.370951253398,-11.855813131282,9.170952549096,-13.743070372934,14.526814271312,-43.409474453990,-2.851667872261,1.006109280348,-26.936527998088,-13.919910399305,-20.679334553993,-3.300810827140,-4.288310716549,-18.611673421204,12.113330724906,-13.395769273510,-4.666135930676,-4.148777732382,-1.596409454580,25.503232073161,10.555627461731,2.161448425351
23,-6.129384837605,15.636247877738,-12.789466057414,-35.886062595437,-13.460823782639,-31.209443769069,6.486208692967,0.177901052635,-13.113602403075,12.192375780565,-16.901493866305,16.995090028431,-49.699073931448,-4.190119999143,-3.282914345263,-32.418831036109,-14.124185912837,-14.644007271763,-4.251441446070,-9.234702300168,-17.394696025878,17.689568110855,-9.380713520476,1.763968494673,1.422973272971,-1.935943989257,25.624397185328,9.227229912322,-0.131895292480
24,-8.641557776034,16.078979934864,-12.876966271070,-33.816917642419,-13.668069419543,-28.423401873302,-0.386748482178,0.072744986480,-11.068879492819,11.709506122491,-14.903749526862,21.627151791868,-53.502930216741,-2.782359827956,-12.299302892096,-36.732967763828,-11.856164647591,-10.939310473242,-8.256225997384,-21.717672858109,-18.917885326246,21.663613187993,-2.116595596424,6.924842121264,4.894032889435,0.831990928018,25.997776599975,12.152509624471,1.789000995499
25,-6.205573570806,19.151137894970,-11.625508811031,-31.304416772174,-14.278785360499,-20.600361572398,-5.317214596046,1.977496947734,-5.637299373040,11.394655509579,-11.117450598386,21.796813888411,-52.733761746185,-2.379324023327,-21.252876072560,-39.312379072091,-9.121058597864,-11.363465656201,-15.268856647778,-32.295956812863,-19.110444899018,17.779488103287,2.536728871402,9.798182872978,6.378121529728,1.500053675818,25.556785320870,15.878140695131,3.404192571141
